timestamp_utc,send_currency,receive_currency,exchange_rate,interbank_rate
2026-09-09 18:40:20 UTC,EUR,ARS,1843.6403,1761.12
2026-09-09 18:40:20 UTC,USD,ARS,1586.2,1513.5
2026-09-09 18:40:20 UTC,GBP,ARS,2146.2872,2051.66
2026-09-09 18:40:20 UTC,CAD,ARS,1148.8375,1096.54
2026-09-09 21:14:53 UTC,EUR,ARS,1843.6403,1761.12
2026-09-09 21:14:53 UTC,USD,ARS,1586.2,1513.5
2026-09-09 21:14:53 UTC,GBP,ARS,2146.2872,2051.66
2026-09-09 21:14:53 UTC,CAD,ARS,1148.8375,1096.54
2026-09-09 23:21:10 UTC,EUR,ARS,1843.6403,1761.12
2026-09-09 23:21:10 UTC,USD,ARS,1586.2,1513.5
2026-09-09 23:21:10 UTC,GBP,ARS,2146.2872,2051.66
2026-09-09 23:21:10 UTC,CAD,ARS,1149.004,1096.54
2026-09-10 01:15:31 UTC,EUR,ARS,1843.6403,1760.73
2026-09-10 01:15:31 UTC,USD,ARS,1586.2,1513.5
2026-09-10 01:15:31 UTC,GBP,ARS,2146.2872,2050.44
2026-09-10 01:15:31 UTC,CAD,ARS,1149.004,1096.06
2026-09-10 06:05:32 UTC,EUR,ARS,1843.6403,1761.28
2026-09-10 06:05:32 UTC,USD,ARS,1586.2,1513.5
2026-09-10 06:05:32 UTC,GBP,ARS,2146.2872,2051.66
2026-09-10 06:05:32 UTC,CAD,ARS,1149.004,1096.3
2026-09-10 11:14:52 UTC,EUR,ARS,1845.3851,1761.28
2026-09-10 11:14:52 UTC,USD,ARS,1586.2,1513.5
2026-09-10 11:14:52 UTC,GBP,ARS,2148.9838,2051.66
2026-09-10 11:14:52 UTC,CAD,ARS,1148.588,1096.3
2026-09-10 15:03:05 UTC,EUR,ARS,1845.3851,1759.79
2026-09-10 15:03:05 UTC,USD,ARS,1586.2,1513.5
2026-09-10 15:03:05 UTC,GBP,ARS,2148.9838,2047.38
2026-09-10 15:03:05 UTC,CAD,ARS,1148.588,1095.18
2026-09-10 18:23:37 UTC,EUR,ARS,1852.9472,1756.85
2026-09-10 18:23:37 UTC,USD,ARS,1592.7,1512.5
2026-09-10 18:23:37 UTC,GBP,ARS,2157.79,2044.27
2026-09-10 18:23:37 UTC,CAD,ARS,1152.5436,1093.85
2026-09-10 21:04:55 UTC,EUR,ARS,1852.9472,1756.79
2026-09-10 21:04:55 UTC,USD,ARS,1592.7,1512.5
2026-09-10 21:04:55 UTC,GBP,ARS,2157.79,2044.05
2026-09-10 21:04:55 UTC,CAD,ARS,1152.5436,1093.93
2026-09-10 23:08:39 UTC,EUR,ARS,1852.9472,1755.95
2026-09-10 23:08:39 UTC,USD,ARS,1592.7,1512.5
2026-09-10 23:08:39 UTC,GBP,ARS,2157.79,2043.56
2026-09-10 23:08:39 UTC,CAD,ARS,1151.1274,1093.26
2026-09-11 01:06:37 UTC,EUR,ARS,1852.9472,1755.95
2026-09-11 01:06:37 UTC,USD,ARS,1592.7,1512.5
2026-09-11 01:06:37 UTC,GBP,ARS,2157.79,2043.56
2026-09-11 01:06:37 UTC,CAD,ARS,1151.1274,1093.26
2026-09-11 05:57:41 UTC,EUR,ARS,1852.9472,1755.45
2026-09-11 05:57:41 UTC,USD,ARS,1592.7,1512.5
2026-09-11 05:57:41 UTC,GBP,ARS,2157.79,2042.3
2026-09-11 05:57:41 UTC,CAD,ARS,1151.1274,1092.64
2026-09-11 11:07:52 UTC,EUR,ARS,1846.8949,1755.45
2026-09-11 11:07:52 UTC,USD,ARS,1592.7,1512.5
2026-09-11 11:07:52 UTC,GBP,ARS,2152.0562,2042.3
2026-09-11 11:07:52 UTC,CAD,ARS,1150.13,1092.64
2026-09-11 15:01:04 UTC,EUR,ARS,1846.8949,1755.45
2026-09-11 15:01:04 UTC,USD,ARS,1592.7,1511.5
2026-09-11 15:01:04 UTC,GBP,ARS,2152.0562,2044.88
2026-09-11 15:01:04 UTC,CAD,ARS,1150.13,1089.55
2026-09-11 18:25:10 UTC,EUR,ARS,1846.8949,1749.31
2026-09-11 18:25:10 UTC,USD,ARS,1592.7,1508.5
2026-09-11 18:25:10 UTC,GBP,ARS,2152.0562,2040.12
2026-09-11 18:25:10 UTC,CAD,ARS,1148.8026,1088.19
2026-09-11 21:10:48 UTC,EUR,ARS,1846.8949,1749.25
2026-09-11 21:10:48 UTC,USD,ARS,1592.7,1508.5
2026-09-11 21:10:48 UTC,GBP,ARS,2152.0562,2040.32
2026-09-11 21:10:48 UTC,CAD,ARS,1148.8026,1088.08
